Std_CH4_Peak,Std_CH4_PPM,Std_CO2_Peak,Std_CO2_PPM,Std_N2O_Peak,Std_N2O_PPM,Std_Gas1_Peak,Std_Gas1_PPM,Std_Gas2_Peak,Std_Gas2_PPM,Std_Gas3_Peak,Std_Gas3_PPM,GC_Run 
2818087,503,,,111419,1,,,,,,,2024_12
2804067,503,,,114171,1,,,,,,,2024_12
2821704,503,,,113533,1,,,,,,,2024_12
2827126,503,,,114196,1,,,,,,,2024_12
2829515,503,,,116111,1,,,,,,,2024_12
2744080,503,,,111826,1,,,,,,,2024_12
54432,10.18,,,0,0,,,,,,,2024_12
54772,10.18,,,0,0,,,,,,,2024_12
54470,10.18,,,0,0,,,,,,,2024_12
54376,10.18,,,0,0,,,,,,,2024_12
54849,10.18,,,0,0,,,,,,,2024_12
0,0,,,919488,9.95,,,,,,,2024_12
0,0,,,913332,9.95,,,,,,,2024_12
0,0,,,908417,9.95,,,,,,,2024_12
0,0,,,917918,9.95,,,,,,,2024_12
0,0,,,917766,9.95,,,,,,,2024_12
9943,1.768,,,40590,0.299,,,,,,,2024_12
9929,1.768,,,41520,0.299,,,,,,,2024_12
9596,1.768,,,40745,0.299,,,,,,,2024_12
9871,1.768,,,41177,0.299,,,,,,,2024_12
2867823,503,,,104316,1,,,,,,,2024_14
2852461,503,,,103510,1,,,,,,,2024_14
2860782,503,,,106408,1,,,,,,,2024_14
2859967,503,,,106446,1,,,,,,,2024_14
2858563,503,,,104262,1,,,,,,,2024_14
2865617,503,,,106244,1,,,,,,,2024_14
55341,10.18,,,0,0,,,,,,,2024_14
55151,10.18,,,0,0,,,,,,,2024_14
55486,10.18,,,0,0,,,,,,,2024_14
55096,10.18,,,0,0,,,,,,,2024_14
55302,10.18,,,0,0,,,,,,,2024_14
0,0,,,868921,9.95,,,,,,,2024_14
0,0,,,873927,9.95,,,,,,,2024_14
0,0,,,883970,9.95,,,,,,,2024_14
0,0,,,853405,9.95,,,,,,,2024_14
0,0,,,883380,9.95,,,,,,,2024_14
9812,1.768,,,36873,0.299,,,,,,,2024_14
11410,1.768,,,37820,0.299,,,,,,,2024_14
10158,1.768,,,36612,0.299,,,,,,,2024_14
10130,1.768,,,38041,0.299,,,,,,,2024_14
10045,1.768,,,37792,0.299,,,,,,,2024_14
